wave,metric,p025,median,p975,repetitions
2012,a425_mean_abs_correlation,0.03658447185775353,0.09823156920134166,0.1979633457102676,1000
2012,absolute_mean_error,0.03551659722529922,0.08306060606060602,0.1596880883484622,1000
2012,correlation_rmse,0.05092811252506918,0.09004439300863068,0.13665984931565242,1000
2012,total_variation,0.048117725185872,0.07104850469534421,0.10173701620099553,1000
2012,variance_ratio,0.8551752198443104,0.9909194318609904,1.136787262460203,1000
2018,a425_mean_abs_correlation,0.040991068331716854,0.11169635073604564,0.23407757598665965,1000
2018,absolute_mean_error,0.03551609872829326,0.08066577475237527,0.16262696028317522,1000
2018,correlation_rmse,0.05163916074543397,0.08799427489572302,0.14143334769864344,1000
2018,total_variation,0.04755292807543115,0.07090700529916444,0.10030460801530271,1000
2018,variance_ratio,0.8558691988622626,0.9847318656806647,1.140651493996857,1000
2021,a425_mean_abs_correlation,0.033527344812950215,0.10158205303375095,0.21930285568427488,1000
2021,absolute_mean_error,0.0362301371612485,0.08743898174744,0.16797503879395453,1000
2021,correlation_rmse,0.04709107175365884,0.08540440868819596,0.13665217902078677,1000
2021,total_variation,0.04646360513537674,0.07296906234636247,0.1044048113889036,1000
2021,variance_ratio,0.845704641432066,0.9908251235398977,1.1379536655705589,1000
